,file,px.cm,nursery_id,apple_id,top_x,top_y,bottom_x,bottom_y,width,length,area,solidity,circularity,PC1,PC2,PC3,width_reml_lsmeans_predict,length_reml_lsmeans_predict,area_reml_lsmeans_predict,solidity_reml_lsmeans_predict,circularity_reml_lsmeans_predict,aspect_ratio,weight_avg_16_harv,PC1_reml_lsmeans_predict,PC2_reml_lsmeans_predict,PC3_reml_lsmeans_predict,PLANTID,ACCID,origin,species,use,country,world,release_year
63,BW_1095_11.jpg,81.93,1095,32,515.375,118.75,557.25,743.125,8.3079095710238,7.83648303663026,53.8955214231955,0.990518082629336,0.950892800947628,0.0103372372671907,0.00111129093944656,-0.0112875887184294,8.24464996804574,8.04344590499085,54.8435541007721,0.991460446616367,0.923528960952288,1.02501465981515,228.113115894175,0.0125513608136883,-0.00841163584855494,-0.0149733591367604,Shizuka,NA,Kentville,domestica,dessert,Japan,old,NA
64,BW_1100_1.jpg,81.93,1100,34,558,194.75,516.167,660,6.25667095390562,5.80542612469704,29.9447018158958,0.991515499862236,0.918116965388206,0.0107378422602742,-0.0373425815443012,-0.0093887823476833,6.22704671915478,5.65813944902449,29.0700731813189,0.989118946886198,0.915009009017337,1.10054670360384,100.202450118876,3.64676687425181e-05,0.00723205547212332,-0.00561367630367108,SJCXN982,NA,Kentville,domestica,dessert,Canada,new,NA
65,BW_11005_1.jpg,81.93,11005,1030,547.375,155.75,542.125,731.25,7.80542798393519,7.09552646848189,45.551530474685,0.995228808477085,0.970894047897335,0.00253185292646892,0.0229005515706228,-0.00889681851213913,7.59307175321558,6.7079598280657,42.2273726238783,0.993399804213254,0.910287863708027,1.13194949699112,169.102009842545,-0.0197956147370361,0.00324848285167492,-0.00892016172570904,Lorna Doone,139565,USDA,domestica,dessert,United Kingdom,old,NA
66,BW_11015_1.jpg,81.93,11015,1033,546.5,217.625,508,648,6.73255659560322,5.58566770663737,30.4746372035415,0.983883261348201,0.926767631509585,-0.0393045615244561,0.00308626470560637,-0.0289890162667077,6.25634404151885,5.51333454297108,27.5890015840077,0.986306232433756,0.89468679076448,1.13476590124483,85.8673433432841,-0.00655873770877106,0.0137873966554978,-0.00417159224769931,Marachal,9593,USDA,domestica,cider,France,old,NA
67,BW_11017_11.jpg,81.93,11017,1034,539.75,158.667,575.75,720.25,7.55055775739246,7.14095415613973,43.9306377786347,0.993013865165338,0.958215535863951,0.0212177850186801,-6.07127412739937e-05,-0.0217923670232983,7.87721487824409,7.13742084920244,46.2655930129863,0.991192724975674,0.898578675605323,1.10365005016123,187.833742103011,-0.00315493382149364,0.00245539884180199,-0.0271835215923267,Nitschners Erdbeerapfel,136938,USDA,domestica,NA,Germany,old,NA
68,BW_11022_1.jpg,81.93,11022,1035,561.469,197.594,487.75,653.333,6.18061751941347,5.76851152348941,28.509778530361,0.991595494714146,0.907923669166242,-0.00318778187100468,-0.00531073225240745,-0.019321823614639,6.00211753228446,5.46298506487995,26.4824014199328,0.989435110955936,0.915651807191101,1.09868825577987,97.6676611124598,0.000850084728423663,0.00187208214342066,-0.00876012026947057,Nubeena,229849,USDA,domestica,cider,Australia,new,NA
69,BW_11023_1.jpg,81.93,11023,1036,560,184.833,557.5,666.75,6.62502118491688,6.03300206599075,33.0332339833751,0.992271909287494,0.944647910779038,-0.0123636402461976,0.00982388086600692,-0.0111615017396722,6.04561587549223,5.67960932857572,28.1907939088453,0.99050430828014,0.878664787178485,1.06444220469092,100.896650938468,0.0111205118944188,0.0200320965616414,-0.00955504939506708,Purpurroter Cousinot,18339,USDA,domestica,dessert,Netherlands,old,NA
70,BW_11028_1.jpg,81.93,11028,1037,536.5,174.5,557.75,683.25,6.52994767570681,6.40497357868553,34.5187310966203,0.986800430886524,0.908932538768185,0.0150669155264807,-0.0222508684803539,0.00236523259548087,7.00526423174695,6.71065739336557,38.715032043025,0.990244664836886,0.919270429160941,1.043901337993,141.070690877696,0.0188102072041118,0.0130958271523024,-0.0142427017510099,Redgold,8233,USDA,domestica,dessert,United States,new,1946
71,BW_11032_3.jpg,81.93,11032,1039,554.667,202.833,563.75,663.125,6.62765329330344,5.75993433435734,30.6628627543046,0.988085630780869,0.918004492855472,-0.026236585523902,-0.0144057738785859,-0.0110091814864645,6.43682325785813,5.57405520660001,28.8185240732468,0.986481163863545,0.919159907342078,1.15478283211773,88.3428858822504,-0.0284312647307148,-0.00236312984685675,-0.00689464511260822,Maunerbe,140202,USDA,domestica,dessert,France,old,NA
72,BW_1104_1.jpg,81.93,1104,35,541,190.75,585.375,681.125,6.47140747146676,6.15520602508338,32.2396861226621,0.992269066883951,0.878718628730605,0.00339840733472423,0.0211028776480116,-0.046520566159668,7.50864688955705,7.62314444524376,46.1735658221901,0.99222720258182,0.93215235035788,0.984980272050578,181.024100175761,0.0394927862121513,0.024579643807704,-0.0111265053631193,8B 14 56,NA,Kentville,domestica,dessert,Canada,new,NA
73,BW_11040_1.jpg,81.93,11040,1041,541.083,200.667,559.25,654.125,6.12828669484088,5.63730406339423,27.7247383218526,0.989884397247774,0.893591092191446,-0.0269702492629201,0.000274482507257946,0.00422252376488631,6.07269479426723,6.05010886118429,29.4383878887469,0.990056600966509,0.919295193910562,1.00373314490717,88.3803322399641,0.0340442001667186,0.000240030330146655,-0.0103630042011915,Marin Onfroy,151027,USDA,domestica,cider,France,old,NA
74,BW_11047_1.jpg,81.93,11047,1044,579,148.75,581.125,692.25,7.07776800357769,6.96728418861849,39.623830934373,0.98809032010511,0.910411079646468,0.0433443554205027,0.0395184927243803,0.0258247435931969,6.33334293398984,5.97616742402738,31.0140651430977,0.989411718860894,0.918256109183548,1.05976665053365,101.751343259581,0.0132756479725482,0.00808391007508083,0.00163345549491275,Milton,6156,USDA,domestica,dessert,United States,new,1923
75,BW_11059_1.jpg,81.93,11059,1048,531.833,151.833,590.167,713.25,8.54400787916657,7.19300364179406,51.6668896202559,0.991498108086482,0.915755573657701,-0.0370187755743919,0.0403096710437867,-0.0114074299346467,8.407923541635,7.28476802203017,50.1232875530649,0.991352214021929,0.899708354879697,1.15417862534651,181.932854158828,-0.0202701359770748,0.00234526498223358,-0.0223773365037588,Red Cox's Pomona,189766,USDA,domestica,dessert,Denmark,old,1850
